# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	8799
#@/user_id	winK
a 	啊	c=19 d=1.84626 t=7350
a 	阿	c=8 d=1.87596 t=8778
a a a a 	啊啊啊啊	c=1 d=1 t=6536
a a si dun wa 	啊阿斯頓哇	c=1 d=1 t=2274
a da 	阿達	c=0 d=0.1 t=2271
a du wu 	阿堵物	c=0 d=0.115882 t=2640
a si dun 	阿斯頓	c=0 d=0.199005 t=2275
a si dun wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu 	阿斯頓嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚	c=1 d=1 t=2276
ai 	哎	c=7 d=0.16168 t=5414
ai 	唉	c=1 d=1 t=682
ai 	愛	c=1 d=1 t=4178
ai 	艾	c=3 d=1.00002 t=7773
ai da wang 	哎大王	c=1 d=1 t=5415
ai e shou dong 	挨餓受凍	c=0 d=0.1 t=2277
ai ren 	愛人	c=1 d=0.262026 t=2641
an 	按	c=4 d=1.18925 t=5641
an 	暗	c=1 d=1 t=5938
an jian 	按鍵	c=2 d=1.00001 t=6419
an lian 	暗戀	c=1 d=1 t=6264
an na 	安那	c=1 d=1 t=3597
an quan 	安全	c=3 d=1.00005 t=5924
an xin 	安心	c=1 d=1 t=6211
an zhuang 	安裝	c=10 d=1.88692 t=5712
an zhuo 	安卓	c=3 d=1.96561 t=6692
ao 	熬	c=1 d=1 t=5507
ba 	八	c=2 d=1.13876 t=7135
ba 	吧	c=32 d=1.0798 t=8400
ba 	巴	c=2 d=1.00113 t=5506
ba 	把	c=23 d=1.856 t=8613
ba 	罷	c=2 d=1 t=6739
ba 	靶	c=1 d=1 t=6831
ba ha 	巴哈	c=1 d=1 t=4512
ba le 	罷了	c=1 d=1 t=8440
ba sui 	八歲	c=1 d=1 t=7288
ba ta 	把他	c=1 d=1 t=939
ba ta 	把它	c=1 d=1 t=937
ba wan 	八萬	c=1 d=1 t=7739
bai 	擺	c=1 d=1 t=2674
bai 	白	c=3 d=1.00009 t=5820
bai cai 	白菜	c=2 d=1.956 t=2091
bai guang 	白光	c=1 d=1 t=1688
bai se 	白色	c=1 d=1 t=7903
bai tian 	白天	c=2 d=1 t=6216
bai wan 	百萬	c=2 d=1.91393 t=4581
ban 	半	c=2 d=1 t=6927
ban 	搬	c=2 d=1 t=8054
ban 	板	c=1 d=1 t=2815
ban 	版	c=11 d=1.13759 t=8713
ban 	班	c=1 d=1 t=3456
ban ben 	版本	c=7 d=1.19268 t=7273
ban chu lai 	搬出來	c=1 d=1 t=7379
ban fa 	辦法	c=1 d=1 t=3554
ban jia 	搬家	c=3 d=1.2466 t=3059
ban jing 	半徑	c=2 d=1.98511 t=8339
ban kuai 	板塊	c=1 d=1 t=5795
ban quan 	版權	c=1 d=1 t=7667
ban tian 	半天	c=2 d=1 t=4781
ban ye 	半夜	c=1 d=1 t=40
ban yun 	搬運	c=1 d=1 t=4094
bang ding 	綁定	c=1 d=1.00014 t=3714
bang ding le 	綁定了	c=1 d=1 t=2395
bang ni 	幫你	c=1 d=1 t=8131
bao 	包	c=3 d=1 t=7498
bao 	爆	c=1 d=1 t=1497
bao cun 	保存	c=6 d=1.0001 t=6007
bao dao 	寶島	c=2 d=1.96079 t=4092
bao han 	包含	c=1 d=1 t=6836
bao hu 	保護	c=1 d=1 t=925
bao jiang 	包漿	c=2 d=1.94176 t=6913
bao kuo 	包括	c=2 d=1 t=6576
bao liu 	保留	c=2 d=1 t=8267
bao mi hua 	爆米花	c=2 d=1.57984 t=723
bao qian 	抱歉	c=2 d=1 t=6933
bao zhen 	抱枕	c=2 d=1.98511 t=2588
bei 	唄	c=1 d=1 t=2072
bei 	悲	c=1 d=1 t=8036
bei 	背	c=1 d=1 t=4764
bei 	被	c=15 d=2.71641 t=8163
bei 	貝	c=1 d=1 t=2126
bei hou 	背後	c=1 d=1 t=6376
bei jing 	背景	c=2 d=1.00047 t=1603
bei kong 	被控	c=1 d=1 t=6714
bei yong 	備用	c=1 d=1 t=8061
bei zhu 	備註	c=1 d=1 t=2777
bei zi 	輩子	c=1 d=1 t=839
ben 	本	c=3 d=1 t=8556
ben di 	本地	c=4 d=1.10165 t=2561
ben lai 	本來	c=3 d=1 t=7799
ben shen 	本身	c=1 d=1 t=179
ben xin 	本心	c=1 d=1 t=2570
ben yi 	本意	c=1 d=1 t=4135
ben zi 	本子	c=2 d=1.99005 t=2215
beng huai 	崩壞	c=3 d=1 t=7110
bi 	比	c=2 d=1.0299 t=7098
bi ji 	筆記	c=1 d=1 t=3114
bi ji ben 	筆記本	c=2 d=1.00041 t=4300
bi jiao 	比較	c=4 d=1.00325 t=6168
bi li 	比例	c=5 d=4.63172 t=5196
bi mian 	避免	c=1 d=1 t=8097
bi ni 	比你	c=1 d=1 t=8758
bi ru 	比如	c=1 d=1 t=4493
bi xu 	必須	c=3 d=1.27575 t=4757
bi yao 	必要	c=2 d=1.96079 t=2858
bi ye 	畢業	c=2 d=1.0367 t=7788
bian 	變	c=6 d=0.101197 t=6589
bian 	遍	c=3 d=1 t=8603
bian 	邊	c=4 d=1.00033 t=8196
bian cheng 	編程	c=1 d=1 t=8453
bian cheng 	變成	c=3 d=1 t=8027
bian de 	變得	c=1 d=1 t=8592
bian ju 	編劇	c=1 d=1 t=8719
bian ju 	邊距	c=1 d=1 t=8720
bian kuang 	邊框	c=2 d=1.96079 t=8342
