# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	6719
#@/user_id	winK
a 	阿	c=14 d=1.69988 t=6719
a a 	啊啊	c=1 d=0.00559994 t=6719
a mi ya 	阿米娅	c=2 d=0.621885 t=6719
a ya 	阿雅	c=1 d=1 t=6244
a yi 	阿姨	c=2 d=1.98511 t=6674
a yi xi tie lu 	阿姨洗铁路	c=1 d=1 t=4269
ai 	哎	c=2 d=1.00975 t=6706
ai 	爱	c=9 d=2.15132 t=6719
ai zheng 	癌症	c=1 d=0.00036159 t=6719
an 	岸	c=1 d=1 t=4763
an 	按	c=2 d=0.0149956 t=6719
an jian 	按键	c=1 d=0.970446 t=6719
an pai 	安排	c=3 d=0.0144735 t=6719
an quan 	安全	c=3 d=0.138283 t=6719
an zhuang 	安装	c=4 d=0.540753 t=6719
an zhuo 	安卓	c=1 d=1 t=4288
ao 	奥	c=3 d=0.018968 t=6719
ba 	吧	c=25 d=0.925444 t=6719
ba 	巴	c=2 d=0.0391903 t=6719
ba 	把	c=9 d=0.512305 t=6719
ba 	爸	c=1 d=0.343009 t=6719
ba ba 	爸爸	c=2 d=0.00198045 t=6719
ba bu de 	巴不得	c=1 d=0.146607 t=6719
ba ha mu te 	巴哈姆特	c=3 d=0.456257 t=6719
ba po 	八婆	c=1 d=0.157237 t=6719
ba quan 	霸权	c=1 d=0.000921047 t=6719
ba ta 	把它	c=1 d=1 t=5479
ba wang 	霸王	c=1 d=1 t=6585
ba wo 	把我	c=1 d=1 t=5385
bai 	摆	c=1 d=0.298197 t=6719
bai 	白	c=1 d=1 t=4793
bai du yun 	百度云	c=1 d=0.0332068 t=6719
bai ke 	百科	c=2 d=0.854873 t=6719
ban 	版	c=9 d=1.14493 t=6719
ban ben 	版本	c=7 d=0.42576 t=6719
ban ge 	半个	c=3 d=0.554492 t=6719
ban gong shi 	办公室	c=1 d=1 t=5601
ban quan 	版权	c=1 d=0.0156076 t=6719
ban zhu ren 	班主任	c=1 d=1 t=4995
bang 	棒	c=1 d=1 t=6054
bang 	榜	c=1 d=1 t=6304
bang ge 	帮个	c=1 d=0.185444 t=6719
bang zhu 	帮助	c=2 d=0.174645 t=6719
bao 	包	c=6 d=0.168406 t=6719
bao 	爆	c=4 d=0.604555 t=6719
bao bu liao 	包不了	c=1 d=0.205975 t=6719
bao bu liao 	爆不了	c=1 d=0.207008 t=6719
bao cao 	爆肏	c=1 d=0.22091 t=6719
bao chi 	保持	c=1 d=0.0374406 t=6719
bao cun 	保存	c=2 d=1.00206 t=6213
bao fu 	包袱	c=1 d=0.118837 t=6719
bao fu 	报复	c=1 d=0.118245 t=6719
bao guan li 	包管理	c=1 d=1 t=6555
bao guang 	曝光	c=1 d=1 t=6571
bao han 	包含	c=1 d=0.00551656 t=6719
bao hu 	保护	c=2 d=0.0239482 t=6719
bao kuo 	包括	c=1 d=1 t=5237
bao lei 	爆雷	c=1 d=1 t=4877
bao liu 	保留	c=2 d=0.843665 t=6719
bao zheng 	保证	c=1 d=0.0132336 t=6719
bei 	呗	c=6 d=0.494653 t=6719
bei 	悲	c=2 d=0.181459 t=6719
bei 	杯	c=1 d=0.179066 t=6719
